index,rate_num,score,season_name,season_num,series_name
246429,4058,7.3,BanG Dream! 第二季,2,BanG Dream!
246430,3375,7.4,BanG Dream! 第三季,3,BanG Dream!
305059,1049,7.1,剧场版 BanG Dream! Poppin'Dream！,4,BanG Dream!
440,4346,8.0,校园迷糊大王,1,校园迷糊大王
1878,2875,7.8,校园迷糊大王 二学期,2,校园迷糊大王
1879,1528,7.2,校园迷糊大王 三学期,3,校园迷糊大王
696,2696,8.1,剑风传奇,1,剑风传奇
162040,1621,6.8,剑风传奇,2,剑风传奇
192906,1110,7.0,剑风传奇 次篇,3,剑风传奇
241418,2603,7.3,擅长捉弄的高木同学 OVA,1,擅长捉弄的高木同学 OVA
271151,8761,7.7,擅长捉弄的高木同学 第二季,2,擅长捉弄的高木同学 OVA
347887,7812,8.0,擅长捉弄的高木同学 第三季,3,擅长捉弄的高木同学 OVA
347888,4088,7.7,擅长捉弄的高木同学 剧场版,4,擅长捉弄的高木同学 OVA
